date,adj_close,30_mavg,26_ema,12_ema,MACD,Signal,Crossover,company
2000-02-14,39.127124786377,38.85735143025716,38.991140199417245,39.1067093289805,0.11556912956325505,0.0872079892590982,0.028361140304156846,MS
2000-02-15,38.8677444458008,38.82327944437663,38.984513029301425,39.086649786658285,0.10213675735685968,0.08876008156022987,0.013376675796629808,MS
2000-02-16,38.8677444458008,38.88770116170247,38.97834460724722,39.068402217167176,0.0900576099199526,0.08889444811899018,0.0011631618009624173,MS
2000-02-17,37.4968223571777,38.95136324564616,38.90129813822904,38.938235692284884,0.03693755405584653,0.08353307538332264,-0.0465955213274761,MS
2000-02-18,36.3111534118652,38.95272649129232,38.76858427647011,38.72192361083415,-0.0466606656359545,0.07014123621544999,-0.11680190185140449,MS
2000-02-22,36.9410400390625,38.937534968058266,38.67625570190294,38.57607686417816,-0.10017883772477632,0.052671945304301665,-0.15285078302907798,MS
2000-02-23,38.9789085388184,38.946180470784505,38.69134247245223,38.60890381838046,-0.08243865407176543,0.03884948751492277,-0.1212881415866882,MS
2000-02-24,40.9426765441895,39.02028490702311,38.8021483760485,38.79821943813972,-0.003928937908781904,0.034483114312492305,-0.03841205222127421,MS
2000-02-25,41.4243698120117,39.100565338134764,38.92965542751031,39.01036238426682,0.08070695675650796,0.039191415656924806,0.04151554109958316,MS
2000-02-28,41.0167770385742,39.159230677286786,39.02998031712425,39.17181960160286,0.14183928447861405,0.04962759808444555,0.09221168639416849,MS
2000-02-29,41.7578163146973,39.19443003336588,39.159672710074496,39.379180485206525,0.2195077751320298,0.06687048082049846,0.15263729431153134,MS
2000-03-01,44.61083984375,39.35993016560872,39.41614851986358,39.7973222395309,0.3811737196673164,0.09872455288452804,0.28244916678278836,MS
2000-03-02,45.3889503479004,39.532223002115884,39.69438123652131,40.24289689276855,0.5485156562472397,0.14424870178467947,0.4042669544625603,MS
2000-03-03,46.9451293945312,39.76503423055013,40.02895100325237,40.77549964543364,0.7465486421812741,0.205134759145886,0.5414138830353882,MS
2000-03-06,47.9455604553223,40.054041926066084,40.39094920238801,41.34383356583356,0.9528843634455555,0.28064196865779506,0.6722423947877605,MS
2000-03-07,48.0196533203125,40.38998196919759,40.7367774876563,41.87175525238439,1.1349777647280916,0.36682777484128043,0.7681499898868112,MS
2000-03-08,46.8339920043945,40.672197087605795,41.01090548868199,42.26332288854061,1.252417399858615,0.45608789047662757,0.7963295093819874,MS
2000-03-09,49.4276313781738,41.00690269470215,41.38634326028908,42.827534147220526,1.4411908869314445,0.5552995821064689,0.8858913048249756,MS
2000-03-10,51.3543586730957,41.38360061645508,41.82763788072787,43.49782110335787,1.6701832226300013,0.6675018539201534,1.002681368709848,MS
2000-03-13,48.9088859558105,41.76276791890462,42.13888070952612,43.92246464071487,1.7835839311887511,0.7797528576917183,1.0038310734970328,MS
2000-03-14,47.3897514343262,42.03324864705404,42.36808756358649,44.19414438320419,1.8260568196176976,0.8849252889530445,0.9411315306646532,MS
2000-03-15,46.2411422729492,42.30990498860677,42.53604021547842,44.35430782547651,1.8182676099980881,0.9786944597625046,0.8395731502355835,MS
2000-03-16,47.8714370727539,42.61867332458496,42.76595171044719,44.62913611219416,1.8631844017469703,1.0675142372663986,0.7956701644805717,MS
2000-03-17,52.6882095336914,43.070709482828775,43.190945782133284,45.25810629400785,2.067160511874569,1.1678558584454874,0.8993046534290814,MS
2000-03-20,51.9842262268066,43.505454762776694,43.56541287712907,45.782457885513395,2.217045008384325,1.2731307491033386,0.9439142592809864,MS
