date,adj_close,30_mavg,26_ema,12_ema,MACD,Signal,Crossover,company
2000-02-14,22.0765628814697,28.509095764160158,27.96480324717721,27.364074997891645,-0.600728249285563,-0.27607496854517244,-0.32465328074039057,CCL
2000-02-15,21.1437606811523,28.24220740000407,27.598468036057948,26.841920208309915,-0.7565478277480331,-0.3260280672059587,-0.43051976054207436,CCL
2000-02-16,19.8222846984863,27.94293015797933,27.187683051270447,26.256775568777616,-0.930907482492831,-0.3886668256485203,-0.5422406568443107,CCL
2000-02-17,19.3947353363037,27.597011756896972,26.78241130820121,25.688425239657494,-1.093986068543714,-0.46144791518409367,-0.6325381533596203,CCL
2000-02-18,19.3169994354248,27.23425095876058,26.399898458948954,25.163806582756393,-1.2360918761925603,-0.5411284532573731,-0.6949634229351872,CCL
2000-02-22,18.9283351898193,26.870194943745933,26.022430832006208,24.653148148403126,-1.3692826836030818,-0.6260700977418899,-0.7432125858611919,CCL
2000-02-23,18.4230613708496,26.445246760050455,25.643614150331373,24.14545526773349,-1.4981588825978847,-0.7152889338134438,-0.7828699487844408,CCL
2000-02-24,17.4744453430176,25.980904706319173,25.241544931600806,23.604303010553046,-1.6372419210477602,-0.8093922295165613,-0.8278496915311989,CCL
2000-02-25,17.2404098510742,25.55669771830241,24.852485057223387,23.090221617072356,-1.762263440151031,-0.9064504696993206,-0.8558129704517105,CCL
2000-02-28,18.7226238250732,25.144326210021973,24.557831574549343,22.738758780402296,-1.819072794147047,-0.9992365467479271,-0.81983624739912,CCL
2000-02-29,17.981517791748,24.69559097290039,24.24516693047175,22.357294376395956,-1.8878725540757948,-1.0894333356593062,-0.7984392184164886,CCL
2000-03-01,16.772346496582,24.218210220336914,23.893572927721358,21.910915943812803,-1.982656983908555,-1.1799599575452935,-0.8026970263632616,CCL
2000-03-02,16.1482582092285,23.714844195048013,23.532770741822674,21.451712618403633,-2.081058123419041,-1.2711616882380634,-0.8098964351809774,CCL
2000-03-03,16.3042831420898,23.238703536987305,23.199228139410078,21.04266457247071,-2.1565635669393686,-1.3606663120287126,-0.795897254910656,CCL
2000-03-06,15.1341180801392,22.77667627334595,22.830439539320246,20.57432441736063,-2.256115121959617,-1.4510880795694223,-0.8050270423901946,CCL
2000-03-07,15.2901334762573,22.392401695251465,22.488618559521043,20.156452291347602,-2.3321662681734416,-1.539971671179195,-0.7921945969942465,CCL
2000-03-08,14.9390878677368,22.014563592274985,22.149195081547692,19.74475265740908,-2.4044424241386118,-1.6271031790387445,-0.7773392450998673,CCL
2000-03-09,14.4710235595703,21.586142444610594,21.806701379830834,19.32943032217825,-2.477271057652583,-1.7127252852653811,-0.764545772387202,CCL
2000-03-10,14.393009185791,21.1797371228536,21.478489358948973,18.941382146954254,-2.5371072119947193,-1.7956913650059885,-0.7414158469887309,CCL
2000-03-13,14.2759962081909,20.733155314127604,21.16191743280363,18.57525717115137,-2.586660261652259,-1.875243805107814,-0.7114164565444452,CCL
2000-03-14,13.8469390869141,20.26061185201009,20.84260978611901,18.204769145211287,-2.637840640907722,-1.9518985500116135,-0.6859420908961087,CCL
