date,adj_close,30_mavg,26_ema,12_ema,MACD,Signal,Crossover,company
2000-02-14,7.36334037780762,7.796491082509359,7.762124647051302,7.725331508781363,-0.03679313826993891,-0.01906039761005248,-0.017732740659886427,REG
2000-02-15,7.48814153671265,7.787052456537882,7.7474099374453305,7.7054209586628355,-0.04198897878249497,-0.021444202762666283,-0.020544776019828685,REG
2000-02-16,7.63791084289551,7.781794166564941,7.741625533717146,7.699793432518469,-0.04183210119867731,-0.023555487446869174,-0.018276613751808134,REG
2000-02-17,7.56302928924561,7.775663948059082,7.732337647547502,7.688465905542874,-0.043871742004627734,-0.02565189862080257,-0.018219843383825166,REG
2000-02-18,7.53806304931641,7.767077398300171,7.722383403712985,7.67608184162186,-0.04630156209112446,-0.02777594060546526,-0.0185256214856592,REG
2000-02-22,7.53806304931641,7.749558273951212,7.7130714345486755,7.664778692918481,-0.04829274163019459,-0.029880295995734333,-0.018412445634460258,REG
2000-02-23,7.53806304931641,7.731227159500122,7.704347540270627,7.654452571883052,-0.04989496838757468,-0.03192789230262678,-0.0179670760849479,REG
2000-02-24,7.58798456192017,7.714560095469157,7.698620400472432,7.649060687591524,-0.049559712880908435,-0.033727563705221474,-0.01583214917568696,REG
2000-02-25,7.53806304931641,7.69947722752889,7.690813205337935,7.64009419190601,-0.05071901343192575,-0.03545829099577488,-0.01526072243615087,REG
2000-02-28,7.6628680229187,7.690990575154623,7.6894699212060535,7.641926813779806,-0.047543107426247566,-0.03668695117468806,-0.010856156251559508,REG
2000-02-29,7.55054998397827,7.680384238560994,7.68286510364972,7.634599665963801,-0.04826543768591929,-0.037862170606665746,-0.010403267079253542,REG
2000-03-01,7.53806304931641,7.668549569447835,7.67605220959721,7.626883951412248,-0.04916825818496218,-0.039008022395539,-0.010160235789423176,REG
2000-03-02,7.63791084289551,7.656794961293539,7.674275459525805,7.627762640633655,-0.04651281889214953,-0.03976759605233836,-0.006745222839811174,REG
2000-03-03,7.68783283233643,7.646704419453939,7.674901034564392,7.632536206672374,-0.04236482789201812,-0.0400301483060659,-0.0023346795859522165,REG
2000-03-06,7.6628680229187,7.638217767079671,7.674350808034678,7.6349404540696,-0.03941035396507786,-0.03996756192569181,0.0005572079606139466,REG
2000-03-07,7.63791084289551,7.634583600362142,7.672698893048264,7.635175351465928,-0.037523541582336506,-0.039721007977478705,0.002197466395142199,REG
2000-03-08,7.71278953552246,7.6334453900655115,7.674501350162266,7.641299848160065,-0.03320150200220073,-0.03906389565276368,0.005862393650562944,REG
2000-03-09,7.88751602172852,7.635695203145345,7.68400311541665,7.660690126705081,-0.023312988711569282,-0.03747759033447325,0.01416460162290397,REG
2000-03-10,7.86255121231079,7.638736899693807,7.691907629142396,7.676558267561345,-0.015349361581050935,-0.035250597806193815,0.01990123622514288,REG
