date,adj_close,30 SMA,company
2000-02-14,26.4836864471436,28.011891555786125,DXC
2000-02-15,26.3071269989014,27.913149960835767,DXC
2000-02-16,25.6597461700439,27.799368222554516,DXC
2000-02-17,25.1693019866943,27.737245814005526,DXC
2000-02-18,25.1496925354004,27.661391321818027,DXC
2000-02-22,25.3458671569824,27.594037755330397,DXC
2000-02-23,25.4047164916992,27.478294181823724,DXC
2000-02-24,25.0908374786377,27.371051470438633,DXC
2000-02-25,24.5611743927002,27.246153322855623,DXC
2000-02-28,23.7568435668945,27.076134363810215,DXC
2000-02-29,24.7377243041992,26.925079345703118,DXC
2000-03-01,23.5410499572754,26.754406356811515,DXC
2000-03-02,23.7764644622803,26.596811930338536,DXC
2000-03-03,24.1295719146729,26.485645548502596,DXC
2000-03-06,24.0707225799561,26.35355396270751,DXC
2000-03-07,24.3257541656494,26.23192513783772,DXC
2000-03-08,24.2276630401611,26.11095034281412,DXC
2000-03-09,25.0516014099121,26.025940831502272,DXC
2000-03-10,25.3262538909912,25.933084678649895,DXC
2000-03-13,25.0319843292236,25.833689117431632,DXC
2000-03-14,24.8161907196045,25.699636014302563,DXC
2000-03-15,24.1099624633789,25.570160293579093,DXC
2000-03-16,23.7176113128662,25.46160984039306,DXC
2000-03-17,22.9917621612549,25.305977312723787,DXC
2000-03-20,22.6582679748535,25.09803155263264,DXC
2000-03-21,23.7176113128662,24.946976598103834,DXC
2000-03-22,24.7965717315674,24.83515631357828,DXC
2000-03-23,24.7377243041992,24.74426167805989,DXC
2000-03-24,25.3262538909912,24.677562204996736,DXC
2000-03-27,25.1104564666748,24.637673187255853,DXC
2000-03-28,24.4630680084229,24.570319239298495,DXC
2000-03-29,24.0511112213135,24.495118713378897,DXC
2000-03-30,23.9137859344482,24.436920038859043,DXC
2000-03-31,24.835807800293,24.425803565978995,DXC
2000-04-03,24.8946533203125,24.4173022588094,DXC
2000-04-04,25.1104564666748,24.409455235799147,DXC
2000-04-05,26.4836864471436,24.445420900980626,DXC
2000-04-06,26.4836864471436,24.49184919993082,DXC
2000-04-07,25.6401271820068,24.527814292907706,DXC
2000-04-10,24.4826946258545,24.552009328206374,DXC
2000-04-11,24.0707225799561,24.529775937398266,DXC
2000-04-12,24.0118770599365,24.54547017415364,DXC
2000-04-13,24.3257541656494,24.56377983093261,DXC
2000-04-14,23.8745403289795,24.555278778076165,DXC
2000-04-17,23.6979942321777,24.542854499816887,DXC
2000-04-18,24.4630680084229,24.547431627909337,DXC
2000-04-19,24.3257541656494,24.550701332092277,DXC
2000-04-20,25.3851013183594,24.561817995707187,DXC
2000-04-24,24.600399017334,24.537622833251945,DXC
2000-04-25,26.1305694580078,24.574242337544753,DXC
2000-04-26,25.6793594360352,24.603014628092442,DXC
2000-04-27,26.405216217041,24.679523086547842,DXC
2000-04-28,25.6008968353271,24.742299270629875,DXC
2000-05-01,25.5616550445557,24.8279623667399,DXC
2000-05-02,25.6597461700439,24.928011639912917,DXC
2000-05-03,24.7769660949707,24.963323465983066,DXC
2000-05-04,24.7769660949707,24.962669944763174,DXC
2000-05-05,24.9142723083496,24.968554878234855,DXC
2000-05-08,25.2673931121826,24.96659285227457,DXC
2000-05-09,25.9147758483887,24.9934034983317,DXC
2000-05-10,25.4831848144531,25.027407391866042,DXC
2000-05-11,26.1305694580078,25.09672266642252,DXC
2000-05-12,27.1310596466064,25.20396512349446,DXC
2000-05-15,27.7784423828125,25.302052942911775,DXC
2000-05-16,27.3468608856201,25.383793195088696,DXC
2000-05-17,27.2487812042236,25.455070686340324,DXC
2000-05-18,27.6215019226074,25.492997868855788,DXC
2000-05-19,27.0525932312012,25.511961428324373,DXC
2000-05-22,26.9741249084473,25.556428019205722,DXC
2000-05-23,27.7980575561523,25.666940116882316,DXC
2000-05-24,29.8186683654785,25.858538309733067,DXC
2000-05-25,28.9947357177734,26.02463359832763,DXC
2000-05-26,28.2100238800049,26.15410925547281,DXC
2000-05-30,30.3091163635254,26.36859512329101,DXC
2000-05-31,30.0736980438232,26.581118583679192,DXC
2000-06-01,28.8966407775879,26.728904342651358,DXC
2000-06-02,28.6023750305176,26.871458371480298,DXC
2000-06-05,29.0535736083984,26.99374078114827,DXC
2000-06-06,29.8186683654785,27.167683092753084,DXC
2000-06-07,29.7794284820557,27.289311726888013,DXC
2000-06-08,29.9167537689209,27.430558204650872,DXC
2000-06-09,27.9746189117432,27.482871627807608,DXC
2000-06-12,26.9937438964844,27.529299863179517,DXC
2000-06-13,26.8956527709961,27.573766454060866,DXC
2000-06-14,27.680362701416,27.641120338439933,DXC
2000-06-15,27.543025970459,27.733322334289543,DXC
2000-06-16,26.5915832519531,27.793809572855626,DXC
2000-06-19,26.1697940826416,27.835660298665356,DXC
2000-06-20,22.285530090332,27.736264864603672,DXC
2000-06-21,23.4625797271729,27.654524993896477,DXC
2000-06-22,23.5606651306152,27.590441004435213,DXC
2000-06-23,23.4429626464844,27.500854110717764,DXC
2000-06-26,23.5410499572754,27.3811871210734,DXC
2000-06-27,22.9329147338867,27.21966953277587,DXC
2000-06-28,22.9329147338867,27.072537994384756,DXC
2000-06-29,22.6582679748535,26.919520886739086,DXC
2000-06-30,23.4429626464844,26.780236244201653,DXC
2000-07-03,23.0702362060547,26.6474910100301,DXC
2000-07-05,21.7362442016602,26.472894986470532,DXC
2000-07-06,22.0893611907959,26.28260510762532,DXC
2000-07-07,21.8147048950195,26.015806325276685,DXC
2000-07-10,21.5204429626465,25.76666323343912,DXC
2000-07-11,22.1285858154297,25.563948631286614,DXC
2000-07-12,22.8152008056641,25.31415144602457,DXC
2000-07-13,22.8936729431152,25.074817276000967,DXC
2000-07-14,22.5601711273193,24.863601620992018,DXC
2000-07-17,21.7362442016602,24.634730593363436,DXC
2000-07-18,21.3242740631104,24.37708727518717,DXC
2000-07-19,21.1869430541992,24.089363098144524,DXC
2000-07-20,21.1477146148682,23.80163930257161,DXC
2000-07-21,20.3826293945312,23.48383515675862,DXC
2000-07-24,20.245304107666,23.22619132995605,DXC
2000-07-25,20.9515380859375,23.024784469604484,DXC
2000-07-26,20.1864528656006,22.80114447275797,DXC
2000-07-27,19.7352485656738,22.536307334899895,DXC
2000-07-28,19.5684986114502,22.27048975626627,DXC
2000-07-31,19.4213695526123,22.03148263295491,DXC
2000-08-01,21.2850360870361,21.868657366434725,DXC
2000-08-02,22.1874485015869,21.865387980143222,DXC
2000-08-03,22.4620876312256,21.832038243611645,DXC
2000-08-04,22.7955837249756,21.806535530090326,DXC
2000-08-07,22.8740558624268,21.787571970621737,DXC
2000-08-08,22.6974983215332,21.759453582763665,DXC
2000-08-09,23.0310001373291,21.762723096211744,DXC
2000-08-10,23.2664070129395,21.7738395055135,DXC
2000-08-11,23.7176113128662,21.809150950113924,DXC
2000-08-14,24.1295719146729,21.832037925720208,DXC
2000-08-15,24.286527633667,21.872580973307283,DXC
2000-08-16,24.0903453826904,21.95105101267496,DXC
2000-08-17,24.0511112213135,22.016442680358878,DXC
2000-08-18,23.8549365997314,22.084450403849278,DXC
2000-08-21,23.2467918395996,22.14199536641438,DXC
2000-08-22,22.9132919311523,22.168152236938468,DXC
2000-08-23,23.2860240936279,22.183846346537266,DXC
2000-08-24,24.4630680084229,22.23615951538085,DXC
2000-08-25,23.7176113128662,22.274740854899083,DXC
2000-08-28,23.5606651306152,22.33555488586425,DXC
2000-08-29,23.5410499572754,22.409447415669753,DXC
2000-08-30,23.9137859344482,22.50034217834472,DXC
2000-08-31,24.8161907196045,22.622624715169263,DXC
2000-09-01,23.8157005310059,22.737060419718418,DXC
2000-09-05,23.6587562561035,22.85084215799967,DXC
2000-09-06,24.4630680084229,22.967893155415844,DXC
2000-09-07,24.6396350860596,23.116332562764477,DXC
2000-09-08,24.4434661865234,23.273273150126133,DXC
2000-09-11,23.5018119812012,23.4043835957845,DXC
2000-09-12,24.4630680084229,23.572440210978183,DXC
2000-09-13,24.3649883270264,23.675105285644523,DXC
2000-09-14,24.4630680084229,23.750959269205723,DXC
2000-09-15,25.0712299346924,23.837930679321282,DXC
2000-09-18,24.3257541656494,23.888936360677075,DXC
2000-09-19,24.3257541656494,23.937326304117832,DXC
2000-09-20,24.4826946258545,23.996832847595208,DXC
2000-09-21,23.5410499572754,24.013834508260082,DXC
2000-09-22,23.4429626464844,24.019719696044913,DXC
2000-09-25,24.3061332702637,24.03933709462483,DXC
2000-09-26,23.8157005310059,24.028874715169263,DXC
2000-09-27,23.9137859344482,24.016449991861972,DXC
2000-09-28,24.0707225799561,24.015795898437492,DXC
2000-09-29,23.3056373596191,23.99094676971435,DXC
2000-10-02,23.1879329681396,23.968713315327953,DXC
2000-10-03,22.285530090332,23.936671257019036,DXC
2000-10-04,22.1285858154297,23.910514386494945,DXC
2000-10-05,22.5209350585938,23.885011418660476,DXC
2000-10-06,24.1884288787842,23.87585678100585,DXC
2000-10-09,22.0501232147217,23.820273844401033,DXC
2000-10-10,21.9716491699219,23.767306645711255,DXC
2000-10-11,21.3831195831299,23.69537563323974,DXC
2000-10-12,20.5395660400391,23.582901636759434,DXC
2000-10-13,21.3438911437988,23.46715831756591,DXC
2000-10-16,21.2850360870361,23.382802836100254,DXC
2000-10-17,20.9123020172119,23.291254361470532,DXC
2000-10-18,19.460599899292,23.124505424499503,DXC
2000-10-19,20.1276016235352,22.974104309082023,DXC
2000-10-20,20.7161254882812,22.849859619140616,DXC
2000-10-23,20.8534526824951,22.761580975850414,DXC
2000-10-24,20.9711475372314,22.645183626810702,DXC
2000-10-25,21.5400676727295,22.551019605000807,DXC
2000-10-26,21.2261791229248,22.443123308817537,DXC
2000-10-27,20.3630123138428,22.286182721455884,DXC
2000-10-30,20.0687446594238,22.1442824045817,DXC
2000-10-31,19.7744884490967,21.992573547363275,DXC
2000-11-01,19.7156295776367,21.83367137908935,DXC
2000-11-02,20.6965103149414,21.73885339101155,DXC
2000-11-03,21.9716491699219,21.689809608459466,DXC
2000-11-06,22.0305004119873,21.613955179850254,DXC
2000-11-07,22.8348197937012,21.58125915527343,DXC
2000-11-08,22.3836116790771,21.53025334676106,DXC
2000-11-09,22.0501232147217,21.462900034586582,DXC
2000-11-10,21.9716491699219,21.41843376159667,DXC
2000-11-13,21.6381454467773,21.36677417755126,DXC
2000-11-14,22.8936729431152,21.38704560597737,DXC
2000-11-15,23.1094627380371,21.419741503397617,DXC
2000-11-16,22.6386413574219,21.423665046691887,DXC
2000-11-17,22.7563400268555,21.375928751627598,DXC
2000-11-20,23.2467918395996,21.415817705790193,DXC
2000-11-21,22.9132919311523,21.44720579783121,DXC
2000-11-22,23.2075500488281,21.50802014668782,DXC
2000-11-24,23.3644962310791,21.602184486389152,DXC
2000-11-27,23.2467918395996,21.66561450958251,DXC
2000-11-28,21.873556137085,21.68523184458414,DXC
2000-11-29,21.1869430541992,21.69438654581705,DXC
2000-11-30,21.402738571167,21.759124501546218,DXC
2000-12-01,22.285530090332,21.831055450439447,DXC
2000-12-04,21.8147048950195,21.86767476399739,DXC
2000-12-05,23.1683197021484,21.94483699798583,DXC
2000-12-06,23.3841094970703,22.025269063313793,DXC
2000-12-07,22.9917621612549,22.073658879597975,DXC
2000-12-08,23.2664070129395,22.141666475931796,DXC
2000-12-11,22.9721374511719,22.228637313842764,DXC
2000-12-12,23.2075500488281,22.333264160156244,DXC
2000-12-13,21.893180847168,22.40388724009195,DXC
2000-12-14,22.2659149169922,22.4888967514038,DXC
2000-12-15,21.9716491699219,22.53140137990315,DXC
2000-12-18,22.0697383880615,22.534671020507805,DXC
2000-12-19,21.873556137085,22.529439544677725,DXC
2000-12-20,20.7749805450439,22.460778236389153,DXC
2000-12-21,19.6960105895996,22.371191533406567,DXC
2000-12-22,19.3036651611328,22.279642931620273,DXC
2000-12-26,19.3036651611328,22.190710131327304,DXC
2000-12-27,20.009895324707,22.13643512725829,DXC
2000-12-28,19.0290203094482,22.007613372802727,DXC
2000-12-29,18.8720760345459,21.86636714935302,DXC
2001-01-02,18.6758975982666,21.73427569071451,DXC
2001-01-03,19.6960105895996,21.632264709472647,DXC
2001-01-04,18.8720760345459,21.48644084930419,DXC
2001-01-05,18.0677604675293,21.32492313385009,DXC
2001-01-08,17.5577011108398,21.136594835917148,DXC
2001-01-09,16.7337627410889,20.915570386250806,DXC
2001-01-10,17.3419075012207,20.71874090830484,DXC
2001-01-11,17.3026714324951,20.566378084818513,DXC
2001-01-12,17.7931098937988,20.453250312805167,DXC
2001-01-16,17.910816192627,20.336852900187168,DXC
2001-01-17,17.8715877532959,20.189721488952628,DXC
2001-01-18,18.2835483551025,20.072016270955395,DXC
2001-01-19,18.8916969299316,19.92946217854817,DXC
2001-01-22,18.6955184936523,19.77317581176757,DXC
2001-01-23,18.9701671600342,19.639122645060215,DXC
2001-01-24,19.0486297607422,19.498530069986973,DXC
2001-01-25,18.8524589538574,19.361207453409822,DXC
2001-01-26,19.6175441741943,19.241540590922032,DXC
2001-01-29,19.8843460083008,19.17457942962646,DXC
2001-01-30,20.7977390289307,19.12564023335774,DXC
2001-01-31,20.2766933441162,19.069141705830884,DXC
2001-02-01,20.08522605896,19.00299129486083,DXC
2001-02-02,19.5422115325928,18.925279808044426,DXC
2001-02-05,18.6445198059082,18.854264450073234,DXC
2001-02-06,18.5377922058105,18.815657170613598,DXC
2001-02-07,18.8014507293701,18.798916689554844,DXC
2001-02-08,19.5359325408936,18.806658935546867,DXC
2001-02-09,19.896900177002,18.802892430623366,DXC
2001-02-12,20.1982192993164,18.841865730285637,DXC
2001-02-13,19.6175441741943,18.866714668273918,DXC
2001-02-14,19.8529529571533,18.905949846903475,DXC
2001-02-15,19.9314250946045,18.913796997070303,DXC
2001-02-16,19.9000358581543,18.948062324523917,DXC
2001-02-20,19.8780632019043,19.008405749003085,DXC
2001-02-21,19.6677665710449,19.078741264343254,DXC
2001-02-22,19.272274017334,19.163358306884756,DXC
2001-02-23,18.8767910003662,19.21452109018961,DXC
2001-02-26,19.014892578125,19.27159512837727,DXC
2001-02-27,18.4938507080078,19.29495315551757,DXC
2001-02-28,18.7418193817139,19.322653261820466,DXC
2001-03-01,18.7355403900146,19.351451683044427,DXC
2001-03-02,18.1893844604492,19.34831288655598,DXC
2001-03-05,17.9979114532471,19.318520037333162,DXC
2001-03-06,18.1893844604492,19.30164890289306,DXC
2001-03-07,18.195671081543,19.27583236694335,DXC
2001-03-08,17.6557884216309,19.22940432230631,DXC
2001-03-09,17.4203777313232,19.18166828155517,DXC
2001-03-12,17.1064987182617,19.097966766357413,DXC
2001-03-13,17.2759914398193,19.0110216140747,DXC
2001-03-14,17.034309387207,18.885573959350577,DXC
2001-03-15,16.9809417724609,18.775715573628737,DXC
2001-03-16,10.2638988494873,18.448337999979646,DXC
2001-03-19,10.3580627441406,18.142199707031242,DXC
2001-03-20,10.3580627441406,17.86598447163899,DXC
2001-03-21,9.69891452789307,17.571355215708408,DXC
2001-03-22,9.54825115203857,17.262915229797354,DXC
2001-03-23,10.0347661972046,16.946209685007723,DXC
2001-03-26,10.1446228027344,16.621133772532136,DXC
2001-03-27,10.2011203765869,16.287897141774486,DXC
2001-03-28,10.0127944946289,15.967738819122307,DXC
2001-03-29,10.0347661972046,15.640465927124016,DXC
2001-03-30,10.1540403366089,15.314553101857495,DXC
2001-04-02,10.0661544799805,14.98675705591837,DXC
2001-04-03,9.45094776153564,14.639186541239415,DXC
2001-04-04,9.5356969833374,14.30145088831583,DXC
2001-04-05,10.1320686340332,13.996777375539137,DXC
2001-04-06,10.216817855835,13.708111604054766,DXC
2001-04-09,10.3643398284912,13.419759845733639,DXC
2001-04-10,10.6593885421753,13.158611106872554,DXC
2001-04-11,10.6688051223755,12.889510631561274,DXC
2001-04-12,10.4145622253418,12.612144692738847,DXC
2001-04-16,10.383171081543,12.351937580108642,DXC
2001-04-17,10.9104928970337,12.115690294901526,DXC
2001-04-18,11.5256977081299,11.89356740315755,DXC
2001-04-19,11.7705249786377,11.679395866394037,DXC
2001-04-20,11.2494859695435,11.465852451324457,DXC
2001-04-23,10.6719455718994,11.240904712676999,DXC
2001-04-24,10.9544382095337,11.03583602905273,DXC
2001-04-25,10.9544382095337,10.825117588043211,DXC
2001-04-26,10.9544382095337,10.622455215454101,DXC
2001-04-27,11.142765045166,10.427849324544272,DXC
2001-04-30,11.1835699081421,10.458505026499433,DXC
2001-05-01,11.4189796447754,10.493868923187257,DXC
2001-05-02,11.4001445770264,10.52860498428345,DXC
2001-05-03,11.1490440368652,10.57694263458252,DXC
2001-05-04,11.5508117675781,10.643694655100507,DXC
2001-05-07,11.3624830245972,10.687951882680261,DXC
2001-05-08,11.8898000717163,10.746124458312993,DXC
2001-05-09,11.9871034622192,10.805657227834068,DXC
2001-05-10,11.795636177063,10.865085283915203,DXC
2001-05-11,12.1095180511475,10.934243679046634,DXC
2001-05-14,11.8019151687622,10.989172840118412,DXC
2001-05-15,11.488037109375,11.036568927764895,DXC
2001-05-16,12.2915668487549,11.131256230672202,DXC
2001-05-17,12.2727355957031,11.222490851084393,DXC
2001-05-18,12.3198175430298,11.295415814717613,DXC
2001-05-21,13.0982418060303,11.391463279724121,DXC
2001-05-22,13.1359081268311,11.483848889668785,DXC
2001-05-23,13.1421852111816,11.566608778635661,DXC
2001-05-24,13.2771558761597,11.653553803761802,DXC
2001-05-25,12.9883842468262,11.739347871144616,DXC
2001-05-29,13.302264213562,11.836650975545249,DXC
2001-05-30,12.9664144515991,11.905181694030764,DXC
2001-05-31,13.1798505783081,11.960320123036704,DXC
2001-06-01,13.3085451126099,12.011587460835779,DXC
2001-06-04,13.6538105010986,12.091731611887614,DXC
2001-06-05,14.1717157363892,12.208390617370608,DXC
2001-06-06,13.8044710159302,12.303391710917158,DXC
2001-06-07,13.650671005249,12.393266137441001,DXC
2001-06-08,13.5062847137451,12.478327687581382,DXC
2001-06-11,13.6538105010986,12.562029202779135,DXC
2001-06-12,13.4937343597412,12.639034684499105,DXC
2001-06-13,13.2520446777344,12.700136852264404,DXC
2001-06-14,12.5709228515625,12.73916279474894,DXC
2001-06-15,12.5866098403931,12.787081654866538,DXC
2001-06-18,11.9965219497681,12.801938660939538,DXC
2001-06-19,12.1566047668457,12.828409385681153,DXC
2001-06-20,11.2494859695435,12.807065582275394,DXC
2001-06-21,10.9858245849609,12.773689619700118,DXC
2001-06-22,10.5620861053467,12.73257128397624,DXC
2001-06-25,10.8916616439819,12.691976070404053,DXC
2001-06-26,10.8288803100586,12.659541575113932,DXC
2001-06-27,10.8288803100586,12.637569681803386,DXC
2001-06-28,10.9575719833374,12.59310318628947,DXC
2001-06-29,10.8602743148804,12.546021143595377,DXC
2001-07-02,11.1176557540894,12.505949083964031,DXC
2001-07-03,10.7535533905029,12.427792803446453,DXC
2001-07-05,10.7127485275269,12.347020816802978,DXC
2001-07-06,10.4710626602173,12.257983398437501,DXC
2001-07-09,10.6939153671265,12.171875381469729,DXC
2001-07-10,10.750415802002,12.097276433308924,DXC
2001-07-11,10.750415802002,12.012214819590257,DXC
2001-07-12,11.3342323303223,11.95780874888103,DXC
2001-07-13,11.3875913619995,11.898066775004077,DXC
2001-07-16,11.2212362289429,11.828489812215174,DXC
2001-07-17,11.0799903869629,11.742695808410652,DXC
2001-07-18,10.8885202407837,11.633255958557134,DXC
2001-07-19,11.0642929077148,11.541916688283289,DXC
2001-07-20,10.9983797073364,11.453506978352868,DXC
2001-07-23,10.8131895065308,11.363737138112391,DXC
2001-07-24,10.3863115310669,11.254820505778003,DXC
2001-07-25,10.7096109390259,11.162016391754157,DXC
2001-07-26,10.4396734237671,11.068270683288581,DXC
2001-07-27,10.4993095397949,10.999216906229663,DXC
2001-07-30,10.8351631164551,10.940835348765061,DXC
2001-07-31,11.3342323303223,10.918759028116868,DXC
2001-08-01,10.5275583267212,10.864457480112717,DXC
2001-08-02,11.6606693267822,10.878163592020675,DXC
2001-08-03,11.6198606491089,10.899298127492274,DXC
2001-08-06,11.491171836853,10.93026765187582,DXC
2001-08-07,11.6041717529297,10.954017988840747,DXC
2001-08-08,11.7014722824097,10.983104387919118,DXC
2001-08-09,11.6763648986816,11.01135387420655,DXC
2001-08-10,11.6920547485352,11.035836633046477,DXC
2001-08-13,12.1785736083984,11.079779942830411,DXC
2001-08-14,11.8395824432373,11.103844165802007,DXC
2001-08-15,11.7234468460083,11.136173947652189,DXC
2001-08-16,11.7705249786377,11.171433162689215,DXC
2001-08-17,11.8489971160889,11.217364311218269,DXC
2001-08-20,12.0216274261475,11.261621379852302,DXC
2001-08-21,11.9337463378906,11.30106573104859,DXC
2001-08-22,11.9588575363159,11.341347122192387,DXC
2001-08-23,12.0592937469482,11.365515836079915,DXC
2001-08-24,12.159740447998,11.39125413894653,DXC
2001-08-27,11.977686882019,11.416469160715735,DXC
2001-08-28,12.0436067581177,11.448589706420895,DXC
2001-08-29,11.9965219497681,11.485523096720376,DXC
2001-08-30,11.9745454788208,11.515864849090576,DXC
2001-08-31,11.8019151687622,11.542649364471435,DXC
