date,adj_close,30 SMA,company
2000-02-14,326.25,348.5125,BKNG
2000-02-15,318.0,348.8625,BKNG
2000-02-16,317.625,348.65,BKNG
2000-02-17,330.0,347.6625,BKNG
2000-02-18,306.0,346.3625,BKNG
2000-02-22,300.75,344.9375,BKNG
2000-02-23,311.25,344.4625,BKNG
2000-02-24,340.5,345.25,BKNG
2000-02-25,341.25,346.4,BKNG
2000-02-28,323.25,346.85,BKNG
2000-02-29,335.625,346.6625,BKNG
2000-03-01,386.25,347.7,BKNG
2000-03-02,429.0,349.5125,BKNG
2000-03-03,450.0,352.125,BKNG
2000-03-06,541.125,357.4625,BKNG
2000-03-07,471.75,361.2,BKNG
2000-03-08,525.375,366.125,BKNG
2000-03-09,562.125,371.6125,BKNG
2000-03-10,567.0,377.6875,BKNG
2000-03-13,575.625,384.95,BKNG
2000-03-14,569.625,392.3375,BKNG
2000-03-15,534.0,398.6875,BKNG
2000-03-16,527.625,404.3625,BKNG
2000-03-17,540.0,410.45,BKNG
2000-03-20,466.125,413.9125,BKNG
2000-03-21,487.5,418.1125,BKNG
2000-03-22,522.0,423.9,BKNG
2000-03-23,528.0,429.8125,BKNG
2000-03-24,543.0,436.6625,BKNG
2000-03-27,552.0,444.2875,BKNG
2000-03-28,521.625,450.8,BKNG
2000-03-29,490.875,456.5625,BKNG
2000-03-30,486.75,462.2,BKNG
2000-03-31,480.0,467.2,BKNG
2000-04-03,392.25,470.075,BKNG
2000-04-04,451.5,475.1,BKNG
2000-04-05,431.625,479.1125,BKNG
2000-04-06,462.75,483.1875,BKNG
2000-04-07,468.375,487.425,BKNG
2000-04-10,437.25,491.225,BKNG
2000-04-11,390.375,493.05,BKNG
2000-04-12,360.75,492.2,BKNG
2000-04-13,372.75,490.325,BKNG
2000-04-14,351.28125,487.034375,BKNG
2000-04-17,312.375,479.409375,BKNG
2000-04-18,384.0,476.484375,BKNG
2000-04-19,390.375,471.984375,BKNG
2000-04-20,407.25,466.821875,BKNG
2000-04-24,370.5,460.271875,BKNG
2000-04-25,387.375,453.996875,BKNG
2000-04-26,383.25,447.784375,BKNG
2000-04-27,389.625,442.971875,BKNG
2000-04-28,379.5,438.034375,BKNG
2000-05-01,381.375,432.746875,BKNG
2000-05-02,357.0,429.109375,BKNG
2000-05-03,348.09375,424.4625,BKNG
2000-05-04,347.625,418.65,BKNG
2000-05-05,344.625,412.5375,BKNG
2000-05-08,329.25,405.4125,BKNG
2000-05-09,317.625,397.6,BKNG
2000-05-10,309.375,390.525,BKNG
2000-05-11,297.0,384.0625,BKNG
2000-05-12,298.125,377.775,BKNG
2000-05-15,302.625,371.8625,BKNG
2000-05-16,324.375,369.6,BKNG
2000-05-17,304.125,364.6875,BKNG
2000-05-18,282.375,359.7125,BKNG
2000-05-19,268.5,353.2375,BKNG
2000-05-22,266.625,346.5125,BKNG
2000-05-23,243.0,340.0375,BKNG
2000-05-24,219.0,334.325,BKNG
2000-05-25,217.5,329.55,BKNG
2000-05-26,216.75,324.35,BKNG
2000-05-30,235.5,320.490625,BKNG
2000-05-31,228.75,317.703125,BKNG
2000-06-01,251.625,313.290625,BKNG
2000-06-02,279.0,309.578125,BKNG
2000-06-05,294.0,305.803125,BKNG
2000-06-06,264.375,302.265625,BKNG
2000-06-07,270.0,298.353125,BKNG
2000-06-08,273.375,294.690625,BKNG
2000-06-09,270.75,290.728125,BKNG
2000-06-12,252.0,286.478125,BKNG
2000-06-13,261.0,282.465625,BKNG
2000-06-14,259.125,279.203125,BKNG
2000-06-15,256.5,276.15,BKNG
2000-06-16,259.125,273.2,BKNG
2000-06-19,267.375,270.625,BKNG
2000-06-20,279.0,268.95,BKNG
2000-06-21,270.0,267.3625,BKNG
2000-06-22,271.875,266.1125,BKNG
2000-06-23,250.875,264.575,BKNG
2000-06-26,228.0,262.2375,BKNG
2000-06-27,240.0,260.15,BKNG
2000-06-28,241.125,257.375,BKNG
2000-06-29,220.875,254.6,BKNG
2000-06-30,227.90625,252.784375,BKNG
2000-07-03,240.0,251.834375,BKNG
2000-07-05,222.75,250.371875,BKNG
2000-07-06,228.375,249.884375,BKNG
2000-07-07,225.375,250.096875,BKNG
2000-07-10,223.5,250.296875,BKNG
2000-07-11,195.0,249.571875,BKNG
2000-07-12,213.75,248.846875,BKNG
2000-07-13,230.625,248.909375,BKNG
2000-07-14,236.625,248.409375,BKNG
2000-07-17,237.375,247.021875,BKNG
2000-07-18,232.5,244.971875,BKNG
2000-07-19,238.5,244.109375,BKNG
2000-07-20,243.375,243.221875,BKNG
2000-07-21,240.375,242.121875,BKNG
2000-07-24,186.75,239.321875,BKNG
2000-07-25,187.5,237.171875,BKNG
2000-07-26,171.75,234.196875,BKNG
2000-07-27,154.875,230.721875,BKNG
2000-07-28,147.0,227.071875,BKNG
2000-07-31,141.75,223.159375,BKNG
2000-08-01,149.625,219.234375,BKNG
2000-08-02,148.875,214.896875,BKNG
2000-08-03,145.875,210.759375,BKNG
2000-08-04,145.5,206.546875,BKNG
2000-08-07,165.0,203.684375,BKNG
2000-08-08,168.0,201.684375,BKNG
2000-08-09,153.75,198.809375,BKNG
2000-08-10,142.5,195.521875,BKNG
2000-08-11,144.0,192.959375,BKNG
2000-08-14,147.375,190.275,BKNG
2000-08-15,152.25,187.35,BKNG
2000-08-16,150.75,184.95,BKNG
2000-08-17,151.5,182.3875,BKNG
2000-08-18,158.625,180.1625,BKNG
2000-08-21,153.0,177.8125,BKNG
2000-08-22,148.5,176.2625,BKNG
2000-08-23,152.625,174.225,BKNG
2000-08-24,162.75,171.9625,BKNG
2000-08-25,159.0,169.375,BKNG
2000-08-28,160.125,166.8,BKNG
2000-08-29,165.0,164.55,BKNG
2000-08-30,166.5,162.15,BKNG
2000-08-31,163.125,159.475,BKNG
2000-09-01,155.625,156.65,BKNG
2000-09-05,173.625,156.2125,BKNG
2000-09-06,165.0,155.4625,BKNG
2000-09-07,155.625,154.925,BKNG
2000-09-08,154.5,154.9125,BKNG
2000-09-11,159.0,155.3125,BKNG
2000-09-12,165.0,156.0875,BKNG
2000-09-13,167.625,156.6875,BKNG
2000-09-14,162.0,157.125,BKNG
2000-09-15,156.75,157.4875,BKNG
2000-09-18,153.0,157.7375,BKNG
2000-09-19,150.75,157.2625,BKNG
2000-09-20,140.625,156.35,BKNG
2000-09-21,129.375,155.5375,BKNG
2000-09-22,131.25,155.1625,BKNG
2000-09-25,122.625,154.45,BKNG
2000-09-26,111.84375,153.265625,BKNG
2000-09-27,64.5,150.340625,BKNG
2000-09-28,71.25,147.690625,BKNG
2000-09-29,71.25,145.015625,BKNG
2000-10-02,65.25,141.903125,BKNG
2000-10-03,59.25,138.778125,BKNG
2000-10-04,56.25,135.703125,BKNG
2000-10-05,34.875,131.778125,BKNG
2000-10-06,33.375,127.465625,BKNG
2000-10-09,39.0,123.465625,BKNG
2000-10-10,40.6875,119.484375,BKNG
2000-10-11,32.625,115.071875,BKNG
2000-10-12,31.125,110.559375,BKNG
2000-10-13,37.875,106.384375,BKNG
2000-10-16,34.5,102.346875,BKNG
2000-10-17,30.9375,97.590625,BKNG
2000-10-18,29.25,93.065625,BKNG
2000-10-19,30.75,88.903125,BKNG
2000-10-20,32.53125,84.8375,BKNG
2000-10-23,33.75,80.6625,BKNG
2000-10-24,32.4375,76.24375,BKNG
2000-10-25,31.875,71.71875,BKNG
2000-10-26,30.375,67.33125,BKNG
2000-10-27,33.75,63.23125,BKNG
2000-10-30,33.375,59.24375,BKNG
2000-10-31,34.5,55.36875,BKNG
2000-11-01,37.125,51.91875,BKNG
2000-11-02,41.0625,48.975,BKNG
2000-11-03,28.3125,45.54375,BKNG
2000-11-06,27.0,42.35625,BKNG
2000-11-07,25.6875,39.484375,BKNG
2000-11-08,19.5,37.984375,BKNG
2000-11-09,19.3125,36.253125,BKNG
2000-11-10,20.0625,34.546875,BKNG
2000-11-13,18.375,32.984375,BKNG
2000-11-14,18.5625,31.628125,BKNG
2000-11-15,16.5,30.303125,BKNG
2000-11-16,16.5,29.690625,BKNG
2000-11-17,15.5625,29.096875,BKNG
2000-11-20,14.625,28.284375,BKNG
2000-11-21,13.875,27.390625,BKNG
2000-11-22,13.6875,26.759375,BKNG
2000-11-24,15.1875,26.228125,BKNG
2000-11-27,15.0,25.465625,BKNG
2000-11-28,13.875,24.778125,BKNG
2000-11-29,15.375,24.259375,BKNG
2000-11-30,15.0,23.784375,BKNG
2000-12-01,14.625,23.246875,BKNG
2000-12-04,12.5625,22.58125,BKNG
2000-12-05,12.1875,21.8625,BKNG
2000-12-06,10.6875,21.1375,BKNG
2000-12-07,11.25,20.45,BKNG
2000-12-08,14.625,19.925,BKNG
2000-12-11,13.5,19.25,BKNG
2000-12-12,13.3125,18.58125,BKNG
2000-12-13,13.125,17.86875,BKNG
2000-12-14,12.375,17.04375,BKNG
2000-12-15,10.875,16.0375,BKNG
2000-12-18,9.375,15.40625,BKNG
2000-12-19,9.1875,14.8125,BKNG
2000-12-20,7.5,14.20625,BKNG
2000-12-21,7.6875,13.8125,BKNG
2000-12-22,7.6875,13.425,BKNG
2000-12-26,6.75,12.98125,BKNG
2000-12-27,8.4375,12.65,BKNG
