date,adj_close,30 SMA,company
2000-02-14,6.34375,7.3359375,ORLY
2000-02-15,6.09375,7.180729166666667,ORLY
2000-02-16,5.75,7.040104166666667,ORLY
2000-02-17,5.375,6.884895833333333,ORLY
2000-02-18,5.375,6.7484375,ORLY
2000-02-22,5.625,6.658854166666667,ORLY
2000-02-23,5.765625,6.570833333333334,ORLY
2000-02-24,6.53125,6.5125,ORLY
2000-02-25,6.4375,6.45625,ORLY
2000-02-28,6.546875,6.4015625,ORLY
2000-02-29,7.0,6.396875,ORLY
2000-03-01,6.03125,6.3625,ORLY
2000-03-02,5.53125,6.325,ORLY
2000-03-03,6.0625,6.305208333333334,ORLY
2000-03-06,5.46875,6.261458333333334,ORLY
2000-03-07,4.8125,6.196875,ORLY
2000-03-08,4.625,6.121875,ORLY
2000-03-09,5.46875,6.09375,ORLY
2000-03-10,5.0,6.038541666666666,ORLY
2000-03-13,5.28125,5.997916666666667,ORLY
2000-03-14,5.65625,5.967708333333333,ORLY
2000-03-15,6.1875,5.951041666666667,ORLY
2000-03-16,7.4375,5.986458333333333,ORLY
2000-03-17,7.1875,6.0,ORLY
2000-03-20,7.28125,6.021875,ORLY
2000-03-21,7.53125,6.05625,ORLY
2000-03-22,7.4375,6.083333333333333,ORLY
2000-03-23,7.375,6.128125,ORLY
2000-03-24,8.125,6.18125,ORLY
2000-03-27,8.1875,6.251041666666667,ORLY
2000-03-28,7.6875,6.295833333333333,ORLY
2000-03-29,7.21875,6.333333333333333,ORLY
2000-03-30,7.5,6.391666666666667,ORLY
2000-03-31,7.09375,6.448958333333334,ORLY
2000-04-03,7.375,6.515625,ORLY
2000-04-04,7.375,6.573958333333334,ORLY
2000-04-05,7.40625,6.628645833333334,ORLY
2000-04-06,7.21875,6.6515625,ORLY
2000-04-07,6.96875,6.669270833333333,ORLY
2000-04-10,6.84375,6.679166666666666,ORLY
2000-04-11,6.53125,6.663541666666666,ORLY
2000-04-12,6.4375,6.677083333333333,ORLY
2000-04-13,6.71875,6.716666666666667,ORLY
2000-04-14,6.46875,6.730208333333334,ORLY
2000-04-17,6.5,6.764583333333333,ORLY
2000-04-18,6.53125,6.821875,ORLY
2000-04-19,6.09375,6.870833333333334,ORLY
2000-04-20,6.375,6.901041666666667,ORLY
2000-04-24,6.21875,6.941666666666666,ORLY
2000-04-25,6.65625,6.9875,ORLY
2000-04-26,7.15625,7.0375,ORLY
2000-04-27,6.8125,7.058333333333334,ORLY
2000-04-28,6.75,7.035416666666666,ORLY
2000-05-01,6.96875,7.028125,ORLY
2000-05-02,6.71875,7.009375,ORLY
2000-05-03,6.5,6.975,ORLY
2000-05-04,6.5,6.94375,ORLY
2000-05-05,6.9375,6.929166666666666,ORLY
2000-05-08,6.875,6.8875,ORLY
2000-05-09,6.875,6.84375,ORLY
2000-05-10,6.9375,6.81875,ORLY
2000-05-11,7.09375,6.814583333333333,ORLY
2000-05-12,6.875,6.79375,ORLY
2000-05-15,7.59375,6.810416666666667,ORLY
2000-05-16,7.625,6.81875,ORLY
2000-05-17,7.375,6.81875,ORLY
2000-05-18,7.5,6.821875,ORLY
2000-05-19,7.375,6.827083333333333,ORLY
2000-05-22,7.3125,6.838541666666667,ORLY
2000-05-23,7.3125,6.854166666666667,ORLY
2000-05-24,7.40625,6.883333333333334,ORLY
2000-05-25,7.28125,6.911458333333333,ORLY
2000-05-26,6.9375,6.91875,ORLY
2000-05-30,6.90625,6.933333333333334,ORLY
2000-05-31,6.8125,6.94375,ORLY
2000-06-01,6.8125,6.953125,ORLY
2000-06-02,6.96875,6.982291666666667,ORLY
2000-06-05,7.0,7.003125,ORLY
2000-06-06,6.71875,7.019791666666666,ORLY
2000-06-07,6.8125,7.025,ORLY
2000-06-08,7.03125,7.020833333333333,ORLY
2000-06-09,6.8125,7.020833333333333,ORLY
2000-06-12,6.96875,7.028125,ORLY
2000-06-13,7.03125,7.030208333333333,ORLY
2000-06-14,6.75,7.03125,ORLY
2000-06-15,7.03125,7.048958333333333,ORLY
2000-06-16,6.96875,7.064583333333333,ORLY
2000-06-19,6.953125,7.065104166666667,ORLY
2000-06-20,6.78125,7.061979166666666,ORLY
2000-06-21,6.96875,7.065104166666667,ORLY
2000-06-22,6.84375,7.061979166666666,ORLY
2000-06-23,6.1875,7.031770833333334,ORLY
2000-06-26,6.21875,7.009895833333333,ORLY
2000-06-27,6.34375,6.968229166666666,ORLY
2000-06-28,7.0,6.947395833333333,ORLY
2000-06-29,6.875,6.930729166666667,ORLY
2000-06-30,6.9375,6.911979166666667,ORLY
2000-07-03,6.71875,6.890104166666666,ORLY
2000-07-05,6.6875,6.869270833333333,ORLY
2000-07-06,7.21875,6.866145833333333,ORLY
2000-07-07,7.21875,6.859895833333334,ORLY
