49;AAPL;Apple Inc.;https://en.wikipedia.org/wiki/Apple_Inc.;Information Technology;Technology Hardware, Storage & Peripherals
50;AMAT;Applied Materials Inc.;https://en.wikipedia.org/wiki/Applied_Materials_Inc.;Information Technology;Semiconductor Equipment
51;APTV;Aptiv Plc;https://en.wikipedia.org/wiki/Aptiv_Plc;Consumer Discretionary;Auto Parts & Equipment
52;ADM;Archer-Daniels-Midland Co;https://en.wikipedia.org/wiki/Archer-Daniels-Midland_Co;Consumer Staples;Agricultural Products
53;ARNC;Arconic Inc.;https://en.wikipedia.org/wiki/Arconic_Inc.;Industrials;Aerospace & Defense
54;ANET;Arista Networks;https://en.wikipedia.org/wiki/Arista_Networks;Information Technology;Communications Equipment
55;AJG;Arthur J. Gallagher & Co.;https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.;Financials;Insurance Brokers
56;AIZ;Assurant;https://en.wikipedia.org/wiki/Assurant;Financials;Multi-line Insurance
57;ATO;Atmos Energy Corp;https://en.wikipedia.org/wiki/Atmos_Energy_Corp;Utilities;Gas Utilities
58;T;AT&T Inc.;https://en.wikipedia.org/wiki/AT%26T_Inc.;Communication Services;Integrated Telecommunication Services
59;ADSK;Autodesk Inc.;https://en.wikipedia.org/wiki/Autodesk_Inc.;Information Technology;Application Software
60;ADP;Automatic Data Processing;https://en.wikipedia.org/wiki/Automatic_Data_Processing;Information Technology;Internet Services & Infrastructure
61;AZO;AutoZone Inc;https://en.wikipedia.org/wiki/AutoZone_Inc;Consumer Discretionary;Specialty Stores
62;AVB;AvalonBay Communities, Inc.;https://en.wikipedia.org/wiki/AvalonBay_Communities,_Inc.;Real Estate;Residential REITs
63;AVY;Avery Dennison Corp;https://en.wikipedia.org/wiki/Avery_Dennison_Corp;Materials;Paper Packaging
64;BHGE;Baker Hughes, a GE Company;https://en.wikipedia.org/wiki/Baker_Hughes,_a_GE_Company;Energy;Oil & Gas Equipment & Services
65;BLL;Ball Corp;https://en.wikipedia.org/wiki/Ball_Corp;Materials;Metal & Glass Containers
66;BAC;Bank of America Corp;https://en.wikipedia.org/wiki/Bank_of_America_Corp;Financials;Diversified Banks
67;BK;The Bank of New York Mellon Corp.;https://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon_Corp.;Financials;Asset Management & Custody Banks
68;BAX;Baxter International Inc.;https://en.wikipedia.org/wiki/Baxter_International_Inc.;Health Care;Health Care Equipment
69;BBT;BB&T Corporation;https://en.wikipedia.org/wiki/BB%26T_Corporation;Financials;Regional Banks
70;BDX;Becton Dickinson;https://en.wikipedia.org/wiki/Becton_Dickinson;Health Care;Health Care Equipment
71;BRK-B;Berkshire Hathaway;https://en.wikipedia.org/wiki/Berkshire_Hathaway;Financials;Multi-Sector Holdings
72;BBY;Best Buy Co. Inc.;https://en.wikipedia.org/wiki/Best_Buy_Co._Inc.;Consumer Discretionary;Computer & Electronics Retail
73;BIIB;Biogen Inc.;https://en.wikipedia.org/wiki/Biogen_Inc.;Health Care;Biotechnology
74;BLK;BlackRock;https://en.wikipedia.org/wiki/BlackRock;Financials;Asset Management & Custody Banks
75;HRB;Block H&R;https://en.wikipedia.org/wiki/Block_H%26R;Consumer Discretionary;Specialized Consumer Services
76;BA;Boeing Company;https://en.wikipedia.org/wiki/Boeing_Company;Industrials;Aerospace & Defense
77;BKNG;Booking Holdings Inc;https://en.wikipedia.org/wiki/Booking_Holdings_Inc;Consumer Discretionary;Internet & Direct Marketing Retail
78;BWA;BorgWarner;https://en.wikipedia.org/wiki/BorgWarner;Consumer Discretionary;Auto Parts & Equipment
79;BXP;Boston Properties;https://en.wikipedia.org/wiki/Boston_Properties;Real Estate;Office REITs
80;BSX;Boston Scientific;https://en.wikipedia.org/wiki/Boston_Scientific;Health Care;Health Care Equipment
81;BMY;Bristol-Myers Squibb;https://en.wikipedia.org/wiki/Bristol-Myers_Squibb;Health Care;Health Care Distributors
82;AVGO;Broadcom Inc.;https://en.wikipedia.org/wiki/Broadcom_Inc.;Information Technology;Semiconductors
83;BR;Broadridge Financial Solutions;https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions;Information Technology;Data Processing & Outsourced Services
84;BF-B;Brown-Forman Corp.;https://en.wikipedia.org/wiki/Brown-Forman_Corp.;Consumer Staples;Distillers & Vintners
85;CHRW;C. H. Robinson Worldwide;https://en.wikipedia.org/wiki/C._H._Robinson_Worldwide;Industrials;Air Freight & Logistics
86;COG;Cabot Oil & Gas;https://en.wikipedia.org/wiki/Cabot_Oil_%26_Gas;Energy;Oil & Gas Exploration & Production
87;CDNS;Cadence Design Systems;https://en.wikipedia.org/wiki/Cadence_Design_Systems;Information Technology;Application Software
88;CPB;Campbell Soup;https://en.wikipedia.org/wiki/Campbell_Soup;Consumer Staples;Packaged Foods & Meats
89;COF;Capital One Financial;https://en.wikipedia.org/wiki/Capital_One_Financial;Financials;Consumer Finance
90;CPRI;Capri Holdings;https://en.wikipedia.org/wiki/Capri_Holdings;Consumer Discretionary;Apparel, Accessories & Luxury Goods
91;CAH;Cardinal Health Inc.;https://en.wikipedia.org/wiki/Cardinal_Health_Inc.;Health Care;Health Care Distributors
92;KMX;Carmax Inc;https://en.wikipedia.org/wiki/Carmax_Inc;Consumer Discretionary;Specialty Stores
93;CCL;Carnival Corp.;https://en.wikipedia.org/wiki/Carnival_Corp.;Consumer Discretionary;Hotels, Resorts & Cruise Lines
