date,adj_close,20_ma,20_sd,Upper_Band,Lower_Band,company
2000-01-31,3.47170877456665,3.8514429926872253,0.1850977045443808,4.221638401775987,3.4812475835984635,BWA
2000-02-01,3.3491005897522,3.8200401306152343,0.21371192102360317,4.247463972662441,3.392616288568028,BWA
2000-02-02,3.35555458068848,3.788959968090057,0.23390554130030342,4.256771050690664,3.32114888548945,BWA
2000-02-03,3.45880198478699,3.762078416347504,0.2396303197918264,4.241339055931157,3.282817776763851,BWA
2000-02-04,3.42008471488953,3.7358310222625732,0.24716711360955984,4.230165249481693,3.2414967950434534,BWA
2000-02-07,3.37491297721863,3.701863729953766,0.24778280925887175,4.197429348471509,3.2062981114360225,BWA
2000-02-08,3.40717840194702,3.6717585206031798,0.24502810856907406,4.161814737741328,3.181702303465032,BWA
2000-02-09,3.43944263458252,3.6439090013504027,0.2377284974959126,4.1193659963422276,3.1684520063585775,BWA
2000-02-10,3.47170877456665,3.6179940581321715,0.22597378718973712,4.069941632511646,3.166046483752697,BWA
2000-02-11,3.43944263458252,3.589180791378021,0.2086698558468939,4.006520503071809,3.171841079684233,BWA
2000-02-14,3.47816133499146,3.56390962600708,0.18796939169187937,3.939848409390839,3.1879708426233213,BWA
2000-02-15,3.51042628288269,3.543785583972931,0.16925207382404328,3.8822897316210176,3.2052814363248445,BWA
2000-02-16,3.40072441101074,3.520425248146057,0.1536847568669404,3.8277947618799377,3.213055734412176,BWA
2000-02-17,3.32328915596008,3.4941569566726685,0.13880855825265237,3.771774073177973,3.2165398401673637,BWA
2000-02-18,3.24585366249084,3.4643381357192995,0.1232893227571431,3.7109167812335855,3.2177594902050135,BWA
2000-02-22,3.25230574607849,3.439018261432648,0.11104524653774872,3.6611087545081453,3.2169277683571504,BWA
2000-02-23,3.20068168640137,3.4156147956848146,0.10939129086323562,3.634397377411286,3.196832213958343,BWA
2000-02-24,3.10388779640198,3.3883353590965273,0.11584056529018946,3.6200164896769063,3.1566542285161483,BWA
2000-02-25,3.20068168640137,3.36975075006485,0.11456959948177034,3.5988899490283908,3.1406115511013093,BWA
2000-02-28,3.20713520050049,3.355554151535034,0.11632371893140893,3.588201589397852,3.122906713672216,BWA
2000-02-29,3.30393004417419,3.347165215015411,0.11352222389081672,3.5742096627970446,3.120120767233778,BWA
2000-03-01,3.35555458068848,3.347487914562225,0.11353718706969791,3.574562288701621,3.1204135404228293,BWA
2000-03-02,3.40717840194702,3.3500691056251526,0.11431438559886344,3.5786978768228797,3.1214403344274255,BWA
2000-03-03,3.36845970153809,3.3455519914627074,0.11154302567127376,3.568638042805255,3.12246594012016,BWA
2000-03-06,3.37491297721863,3.3432934045791627,0.11040594979940743,3.5641053041779776,3.122481504980348,BWA
2000-03-07,3.29747772216797,3.33942164182663,0.11059634278614495,3.5606143273989197,3.11822895625434,BWA
2000-03-08,3.23294734954834,3.3307100892066956,0.11183339184718918,3.554376872901074,3.107043305512317,BWA
2000-03-09,3.20068168640137,3.318772041797638,0.11235791558611465,3.5434878729698673,3.0940562106254084,BWA
2000-03-10,3.27811789512634,3.3090924978256226,0.10668472161212131,3.5224619410498654,3.09572305460138,BWA
2000-03-13,3.3491005897522,3.3045753955841066,0.10271380056343535,3.5100029967109774,3.099147794457236,BWA
2000-03-14,3.36200642585754,3.298767650127411,0.0954060624880658,3.4895797751035422,3.1079555251512794,BWA
2000-03-15,3.43299055099487,3.29489586353302,0.08761777460227584,3.470131412737572,3.1196603143284682,BWA
2000-03-16,3.58786082267761,3.3042526841163635,0.10729653893854386,3.5188457619934512,3.089659606239276,BWA
2000-03-17,3.76854515075684,3.326515483856201,0.14939013924502959,3.6252957623462603,3.0277352053661417,BWA
2000-03-20,3.73628115653992,3.351036858558655,0.1737218710448789,3.6984806006484128,3.003593116468897,BWA
2000-03-21,3.79435777664185,3.3781394600868224,0.1980830587025234,3.7743055774918695,2.9819733426817754,BWA
2000-03-22,3.77499747276306,3.406855249404907,0.21213379025793105,3.831122829920769,2.982587668889045,BWA
2000-03-23,3.84598088264465,3.443959903717041,0.2210645406081299,3.886088984933301,3.0018308225007813,BWA
2000-03-24,3.80726385116577,3.4742890119552614,0.22744918024084443,3.9291873724369504,3.0193906514735724,BWA
2000-03-27,3.73628115653992,3.5007463097572327,0.22550509563177498,3.9517565010207827,3.0497361184936826,BWA
2000-03-28,3.72337317466736,3.521718466281891,0.2257418025040514,3.9732020712899936,3.070234861273788,BWA
2000-03-29,3.62657952308655,3.5352697134017945,0.22336429354029896,3.9819983004823927,3.0885411263211964,BWA
2000-03-30,3.74918675422668,3.5523701310157776,0.22611654838065015,4.004603227777078,3.100137034254477,BWA
2000-03-31,4.06538248062134,3.5872162699699404,0.2488413923468113,4.084899054663563,3.0895334852763177,BWA
