date,adj_close,20_ma,20_sd,Upper_Band,Lower_Band,company
2000-01-31,45.25,47.45625,1.1884691336248274,49.83318826724965,45.07931173275034,NVR
2000-02-01,44.875,47.371875,1.3090454223452903,49.98996584469058,44.753784155309425,NVR
2000-02-02,44.625,47.303125,1.4165775739529118,50.13628014790582,44.46996985209418,NVR
2000-02-03,44.375,47.228125,1.5312365735179359,50.29059814703587,44.165651852964125,NVR
2000-02-04,45.3125,47.2,1.5622499799968,50.3244999599936,44.0755000400064,NVR
2000-02-07,45.875,47.15625,1.5875621620651752,50.33137432413035,43.98112567586965,NVR
2000-02-08,45.875,47.08125,1.6119287033665113,50.30510740673302,43.85739259326697,NVR
2000-02-09,44.1875,46.915625,1.7323208259669869,50.38026665193397,43.450983348066025,NVR
2000-02-10,42.25,46.6375,2.005707317159025,50.648914634318054,42.62608536568195,NVR
2000-02-11,42.5,46.31875,2.13387273026002,50.58649546052004,42.05100453947996,NVR
2000-02-14,42.75,46.015625,2.1908221953064433,50.397269390612884,41.633980609387116,NVR
2000-02-15,43.375,45.796875,2.226658440915438,50.25019188183087,41.34355811816913,NVR
2000-02-16,43.875,45.603125,2.216330222373288,50.03578544474657,41.170464555253425,NVR
2000-02-17,44.125,45.396875,2.1479292161901227,49.692733432380244,41.10101656761976,NVR
2000-02-18,43.1875,45.128125,2.06568484167637,49.259494683352735,40.99675531664726,NVR
2000-02-22,42.875,44.834375,1.9372638862920877,48.708902772584175,40.95984722741583,NVR
2000-02-23,43.5,44.546875,1.653330346165753,47.853535692331505,41.240214307668495,NVR
2000-02-24,44.625,44.346875,1.3477373521553333,47.042349704310666,41.65140029568933,NVR
2000-02-25,44.125,44.196875,1.1785980395434723,46.554071079086945,41.83967892091305,NVR
2000-02-28,44.125,44.084375,1.06129478859052,46.20696457718104,41.96178542281896,NVR
2000-02-29,44.125,44.028125,1.025472251606893,46.07906950321379,41.97718049678622,NVR
2000-03-01,44.375,44.003125,1.0097133109921141,46.02255162198423,41.98369837801577,NVR
2000-03-02,44.5,43.996875,1.006041576976411,46.008958153952825,41.98479184604718,NVR
2000-03-03,44.1875,43.9875,1.003202110087559,45.99390422017512,41.98109577982488,NVR
2000-03-06,44.625,43.953125,0.9665190780783343,45.88616315615667,42.02008684384333,NVR
2000-03-07,44.375,43.878125,0.8620934873440185,45.602311974688035,42.15393802531196,NVR
2000-03-08,44.125,43.790625,0.7269695909624605,45.24456418192492,42.336685818075075,NVR
2000-03-09,44.75,43.81875,0.7535278868865483,45.3258057737731,42.311694226226905,NVR
2000-03-10,44.625,43.9375,0.6764968782749172,45.290493756549836,42.584506243450164,NVR
2000-03-13,44.375,44.03125,0.5913646684175099,45.21397933683502,42.84852066316498,NVR
2000-03-14,44.5625,44.121875,0.5191540911855147,45.160183182371036,43.08356681762897,NVR
2000-03-15,44.5625,44.18125,0.496658240538359,45.17456648107672,43.18793351892328,NVR
2000-03-16,46.75,44.325,0.7531731121342734,45.83134622426855,42.818653775731455,NVR
2000-03-17,49.5,44.59375,1.3779125850739546,47.34957517014791,41.83792482985209,NVR
2000-03-20,50.5,44.959375,1.868109598068236,48.695594196136476,41.22315580386353,NVR
2000-03-21,51.75,45.403125,2.341125723792979,50.08537644758596,40.72087355241405,NVR
2000-03-22,54.5625,45.95625,3.0632786335627467,52.08280726712549,39.829692732874506,NVR
2000-03-23,54.125,46.43125,3.5447039350052982,53.520657870010595,39.3418421299894,NVR
2000-03-24,53.8125,46.915625,3.860769444972956,54.63716388994591,39.19408611005409,NVR
2000-03-27,53.125,47.365625,4.03878579615666,55.44319659231332,39.28805340768668,NVR
2000-03-28,52.0625,47.7625,4.09320883325436,55.94891766650872,39.576082333491286,NVR
2000-03-29,51.8125,48.134375,4.107082047400428,56.348539094800856,39.92021090519914,NVR
2000-03-30,54.0,48.609375,4.212629575939342,57.034634151878684,40.184115848121316,NVR
2000-03-31,54.0,49.1,4.24183619934872,57.583672398697445,40.61632760130256,NVR
2000-04-03,54.25,49.58125,4.253389708592174,58.088029417184345,41.07447058281565,NVR
2000-04-04,54.4375,50.084375,4.199941014231775,58.48425702846355,41.68449297153645,NVR
2000-04-05,54.875,50.621875,4.0833964090634804,58.78866781812697,42.45508218187304,NVR
2000-04-06,55.8125,51.175,3.994424568267479,59.16384913653496,43.18615086346504,NVR
2000-04-07,55.875,51.7375,3.811426725546537,59.36035345109307,44.114646548906926,NVR
2000-04-10,55.375,52.2875,3.4715952650345607,59.230690530069126,45.34430946993088,NVR
2000-04-11,55.0,52.809375,3.0019507774769694,58.813276554953944,46.80547344504606,NVR
2000-04-12,54.8125,53.321875,2.3166547846943444,57.955184569388685,48.68856543061131,NVR
2000-04-13,54.75,53.721875,1.741458832453814,57.20479266490763,50.238957335092365,NVR
2000-04-14,53.8125,53.9375,1.4304029612590867,56.798305922518175,51.076694077481825,NVR
2000-04-17,52.75,54.05,1.2186192574945862,56.48723851498917,51.61276148501082,NVR
2000-04-18,52.75,54.1,1.1370697566898702,56.374139513379745,51.82586048662026,NVR
2000-04-19,52.8125,54.0125,1.166557012390612,56.34561402478123,51.67938597521878,NVR
2000-04-20,53.1875,53.965625,1.1805501268364256,56.326725253672855,51.60452474632715,NVR
2000-04-24,53.625,53.95625,1.1825728808072968,56.32139576161459,51.591104238385405,NVR
2000-04-25,53.5,53.975,1.1716216831472814,56.31824336629457,51.631756633705436,NVR
2000-04-26,59.0,54.321875,1.5435395658832902,57.40895413176658,51.23479586823342,NVR
2000-04-27,59.0,54.68125,1.751280076942162,58.18381015388432,51.178689846115674,NVR
2000-04-28,62.0,55.08125,2.386063221578219,59.853376443156435,50.30912355684356,NVR
2000-05-01,63.25,55.54375,2.986406979086516,61.51656395817304,49.57093604182697,NVR
2000-05-02,62.0,55.93125,3.2964107773694864,62.524071554738974,49.33842844526102,NVR
2000-05-03,61.0,56.259375,3.4623370068989403,63.18404901379788,49.334700986202115,NVR
2000-05-04,61.625,56.596875,3.64448455627416,63.88584411254832,49.307905887451675,NVR
2000-05-05,62.5,56.93125,3.8686227234399064,64.66849544687982,49.19400455312019,NVR
2000-05-08,62.3125,57.253125,4.040119272193884,65.33336354438777,49.17288645561223,NVR
2000-05-09,62.625,57.615625,4.185377260474832,65.98637952094967,49.244870479050334,NVR
2000-05-10,62.375,57.984375,4.266891500338121,66.51815800067624,49.450591999323755,NVR
2000-05-11,62.375,58.3625,4.305920801334858,66.97434160266971,49.750658397330284,NVR
2000-05-12,62.375,58.74375,4.306794471346509,67.35733894269302,50.13016105730698,NVR
2000-05-15,61.9375,59.15,4.1990169588907875,67.54803391778157,50.75196608221842,NVR
2000-05-16,61.75,59.6,3.9520356180474385,67.50407123609487,51.69592876390512,NVR
2000-05-17,61.25,60.025,3.61968757738766,67.26437515477532,52.78562484522468,NVR
