date,adj_close,20_ma,20_sd,Upper_Band,Lower_Band,company
2000-03-16,40.3783874511719,36.446502494812016,1.866042299182648,40.17858709317731,32.71441789644672,AVY
2000-03-17,37.7685317993164,36.3472526550293,1.7286211819850137,39.804495018999326,32.890010291059276,AVY
2000-03-20,38.1786460876465,36.37800788879395,1.7566448057994244,39.8912975003928,32.8647182771951,AVY
2000-03-21,38.1786460876465,36.366076469421394,1.7428207782800207,39.851718025981434,32.880434912861354,AVY
2000-03-22,37.0601234436035,36.30378742218018,1.6913437724853977,39.68647496715097,32.921099877209386,AVY
2000-03-23,38.5141906738281,36.3921501159668,1.7604660452073841,39.91308220638157,32.87121802555203,AVY
2000-03-24,36.1653175354004,36.39647426605225,1.7597620298190595,39.91599832569037,32.876950206414136,AVY
2000-03-27,34.8603782653809,36.351733970642094,1.7880714351998865,39.927876841041865,32.77559110024232,AVY
2000-03-28,34.263843536377,36.25479621887207,1.8481270210691756,39.95105026101042,32.558542176733724,AVY
2000-03-29,35.1586532592773,36.262253379821786,1.8431319993054527,39.94851737843269,32.57598938121088,AVY
2000-03-30,36.3517265319824,36.28648700714112,1.840847248877687,39.96818150489649,32.604792509385746,AVY
2000-03-31,36.4262924194336,36.217511367797854,1.8064463263089763,39.830404020415806,32.6046187151799,AVY
2000-04-03,35.4569358825684,36.247339248657234,1.7876857875976453,39.822710823852525,32.67196767346194,AVY
2000-04-04,35.4196472167969,36.36851272583009,1.630982127556648,39.630476980943385,33.10654847071679,AVY
2000-04-05,34.8230972290039,36.39833965301514,1.594802418750028,39.5879444905152,33.208734815515086,AVY
2000-04-06,34.673957824707,36.35173511505128,1.6323510367230387,39.61643718849736,33.087033041605196,AVY
2000-04-07,34.4502487182617,36.269710159301766,1.6864756543770811,39.64266146805593,32.896758850547606,AVY
2000-04-10,35.6433334350586,36.293944168090825,1.6730991908379167,39.64014254976666,32.94774578641499,AVY
2000-04-11,38.0295028686523,36.463585281372076,1.6682173983969084,39.80002007816589,33.12715048457826,AVY
2000-04-12,39.4835777282715,36.564251899719245,1.788565302424974,40.141382504569194,32.9871212948693,AVY
2000-04-13,40.1919593811035,36.554930496215825,1.768008763584243,40.090948023384314,33.018912969047335,AVY
2000-04-14,36.5008697509766,36.49154739379883,1.7447815556523998,39.98111050510363,33.001984282494035,AVY
2000-04-17,37.2092781066895,36.443078994750984,1.7085365008695872,39.86015199649016,33.02600599301181,AVY
2000-04-18,36.9855613708496,36.38342475891114,1.665023533240253,39.71347182539164,33.05337769243064,AVY
2000-04-19,36.1653175354004,36.33868446350098,1.6578899037957333,39.65446427109245,33.022904655909514,AVY
2000-04-20,37.3584098815918,36.28089542388916,1.5970960641474825,39.47508755218413,33.0867032955942,AVY
2000-04-24,35.978889465332,36.27157402038575,1.598349683491386,39.46827338736852,33.07487465340298,AVY
2000-04-25,37.8430976867676,36.420709991455084,1.5988992088529626,39.61850840916101,33.22291157374916,AVY
2000-04-26,38.5887680053711,36.63695621490479,1.5842356447674186,39.80542750443963,33.46848492536996,AVY
2000-04-27,38.887035369873,36.82337532043458,1.62008258239407,40.06354048522272,33.58321015564644,AVY
2000-04-28,39.1480255126953,36.96319026947022,1.6961142190779361,40.35541870762609,33.57096183131434,AVY
2000-05-01,39.1853179931641,37.10114154815675,1.7611038203088019,40.62334918877435,33.578933907539145,AVY
2000-05-02,39.2225799560547,37.28942375183106,1.7772884659911985,40.844000683813455,33.73484681984866,AVY
2000-05-03,39.1853179931641,37.47770729064942,1.7682234378803372,41.014154166410094,33.941260414888745,AVY
2000-05-04,39.9309883117676,37.733101844787605,1.7331561417592458,41.199414128306096,34.266789561269114,AVY
2000-05-05,40.1174125671387,38.005274581909184,1.6530321347390136,41.31133885138721,34.699210312431156,AVY
2000-05-08,39.4835777282715,38.25694103240967,1.454543530971114,41.1660280943519,35.34785397046744,AVY
2000-05-09,39.1480255126953,38.43217563629151,1.3287743528774068,41.089724342046324,35.7746269305367,AVY
2000-05-10,39.4463043212891,38.50301570892334,1.3438579508767343,41.19073161067681,35.81529980716987,AVY
2000-05-11,40.1919593811035,38.538434791564946,1.3799135799840492,41.29826195153304,35.77860763159685,AVY
2000-05-12,39.0361824035645,38.48064594268799,1.3303320988664857,41.14131014042096,35.81998174495502,AVY
2000-05-15,39.6699981689453,38.63910236358643,1.2694541424227799,41.17801064843199,36.10019407874087,AVY
2000-05-16,39.744556427002,38.76586627960206,1.245518536007173,41.2569033516164,36.274829207587715,AVY
2000-05-17,39.6699981689453,38.90008811950684,1.1868283897200087,41.27374489894686,36.52643134006682,AVY
2000-05-18,38.737907409668,39.02871761322022,0.9994496487713188,41.02761691076286,37.02981831567759,AVY
2000-05-19,38.1413726806641,39.067865753173834,0.9443988336199559,40.95666342041375,37.17906808593392,AVY
2000-05-22,37.5448036193848,39.14616146087647,0.7108643138554969,40.56789008858746,37.72443283316548,AVY
2000-05-23,37.3211059570312,39.120061874389656,0.7684729220301327,40.65700771844992,37.58311603032939,AVY
2000-05-24,38.5887680053711,39.120061874389656,0.7684729220301327,40.65700771844992,37.58311603032939,AVY
2000-05-25,36.7245750427246,39.01193885803223,0.9366993024648874,40.885337462962006,37.138540253102455,AVY
2000-05-26,37.3956871032715,38.92432193756104,1.0029147453838472,40.930151428328735,36.918492446793344,AVY
2000-05-30,37.9922294616699,38.86466751098634,1.0218771729165879,40.908421856819515,36.82091316515316,AVY
2000-05-31,36.5381507873535,38.73044605255127,1.141667684226887,41.01378142100505,36.447110684097495,AVY
2000-06-01,37.4702453613281,38.64469242095948,1.169768769686208,40.984229960331895,36.305154881587065,AVY
2000-06-02,37.9922294616699,38.54775447845459,1.1374494093255068,40.8226532971056,36.27285565980358,AVY
2000-06-05,38.2288589477539,38.45332679748536,1.0770712756112184,40.607469348707795,36.299184246262925,AVY
2000-06-06,37.8544387817383,38.371869850158696,1.0564616542684477,40.48479315869559,36.2589465416218,AVY
2000-06-07,38.0790863037109,38.31842288970948,1.042069963122756,40.402562815954994,36.23428296346397,AVY
2000-06-08,37.5923461914062,38.225724983215336,1.0186549222939318,40.2630348278032,36.18841513862747,AVY
2000-06-09,37.8544387817383,38.108848953247076,0.9094265044204387,39.92770196208795,36.2899959444062,AVY
2000-06-12,37.7421112060547,38.044145393371586,0.8857020113664233,39.81554941610443,36.27274137063874,AVY
2000-06-13,37.8169822692871,37.95149459838868,0.7993884322509417,39.550271462890564,36.35271773388679,AVY
2000-06-14,39.0525932312012,37.91689643859864,0.7296294038197902,39.37615524623822,36.45763763095906,AVY
2000-06-15,38.7156219482422,37.86917762756348,0.6338635639236044,39.13690475541069,36.60145049971627,AVY
2000-06-16,40.0635452270508,37.93545951843262,0.7815830521902457,39.498625622813115,36.37229341405213,AVY
2000-06-19,40.4379844665527,38.05029010772706,0.9614429638713983,39.973176035469855,36.12740417998426,AVY
2000-06-20,39.5767860412598,38.15188922882081,1.0112864267028145,40.174462082226434,36.12931637541518,AVY
2000-06-21,39.7265548706055,38.272161674499515,1.0495955690990464,40.37135281269761,36.17297053630142,AVY
2000-06-22,39.3521499633789,38.31033077239991,1.0752812080042071,40.46089318840832,36.159768356391496,AVY
2000-06-23,39.8014488220215,38.46417446136475,1.0564044789676625,40.57698341930008,36.35136550342942,AVY
2000-06-26,39.9137687683105,38.5900785446167,1.0722931575099388,40.73466485963658,36.44549222959682,AVY
2000-06-27,41.7484588623047,38.77789001464844,1.2723562774151922,41.322602569478825,36.23317745981806,AVY
2000-06-28,40.6626396179199,38.98411445617676,1.223545286451455,41.43120502907967,36.537023883273854,AVY
2000-06-29,40.1009941101074,39.11565189361573,1.1932656841850795,41.502183261985884,36.72912052524557,AVY
2000-06-30,40.2133102416992,39.22670593261719,1.1865450235423127,41.59979597970182,36.85361588553257,AVY
2000-07-03,41.4114837646484,39.38583717346192,1.257001304250174,41.89983978196227,36.871834564961574,AVY
2000-07-05,40.9621887207031,39.54122467041016,1.2497955828855711,42.0408158361813,37.041633504639016,AVY
